date,mins_watch_worn,sleep_start,sleep_end,steps,active_kcal,basal_kcal,mins_daylight,hrv_asleep_avg,hrv_asleep_min,hrv_asleep_max,hrv_awake_avg,hrv_awake_min,hrv_awake_max,mins_asleep,mins_core,mins_deep,mins_rem
2024-05-31,0.0,,,5174,501.28,4697.94,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-01,0.0,,,4469,489.45,6198.71,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-02,0.0,,,5923,511.49,6216.4,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-03,0.0,,,6671,604.89,6079.4,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-04,0.0,,,8167,780.18,6305.75,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-05,0.0,,,9315,936.15,6149.21,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-06,0.0,,,8154,851.64,6200.06,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-07,0.0,,,12080,1196.48,6270.81,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-08,0.0,,,11152,1053.15,6302.4,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-09,0.0,,,3844,391.37,6137.39,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-10,0.0,,,17073,1624.5,6271.3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-11,0.0,,,3624,399.01,6210.79,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-12,0.0,,,7742,688.8,6468.17,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-13,0.0,,,10081,909.91,6638.72,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-14,0.0,,,7871,663.19,6644.39,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-15,0.0,,,4928,354.98,6731.12,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-16,0.0,,,6576,517.51,6573.34,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-17,0.0,,,7397,573.45,6650.51,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-18,0.0,,,9515,703.17,6797.85,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-19,0.0,,,5984,502.48,6687.58,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-20,0.0,,,4792,378.08,6498.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-21,0.0,,,6511,518.57,6677.45,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-22,0.0,,,15693,1305.57,6634.83,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-23,0.0,,,4265,318.22,6647.38,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-24,0.0,,,8288,720.81,6649.97,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-25,0.0,,,1354,148.71,6685.83,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-26,0.0,,,5669,405.34,6618.03,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-27,0.0,,,4865,397.85,6617.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-28,0.0,,,2528,180.28,6737.63,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-29,0.0,,,20141,3643.15,6615.55,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-06-30,0.0,,,3635,192.77,6611.25,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-01,0.0,,,10475,768.24,6728.74,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-02,0.0,,,10953,985.89,6633.2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-03,0.0,,,8224,584.71,6629.7,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-04,0.0,,,4143,285.66,6715.24,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-05,0.0,,,2972,224.48,6629.85,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-06,0.0,,,3597,235.8,6666.68,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-07,0.0,,,6877,594.14,6537.02,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-08,0.0,,,10984,822.38,6654.14,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-09,0.0,,,27623,2190.03,6684.11,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-10,0.0,,,16030,1140.58,6750.35,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-11,0.0,,,8658,764.53,6739.09,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-12,0.0,,,13257,1089.91,6490.66,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-13,0.0,,,8449,740.99,6610.93,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-14,0.0,,,2753,195.18,6634.97,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-15,0.0,,,12969,1249.42,6803.49,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-16,0.0,,,13565,1207.51,6436.95,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2024-07-17,0.0,,,7154,450.52,6845.46,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
